canonical_slug,team_display,ncaa_id,espn_id,appearances,avg_seed,conference,her_hoop_stats,espn,ncaa,college_sports_madness,the_ix,cbssports,usatoday,the_athletic
south-carolina,South Carolina,,,8,1,SEC,1,1,1,1,1,1,1,1
texas,Texas,,,8,1,SEC,1,1,1,1,1,1,1,1
ucla,UCLA,,,8,1,B10,1,1,1,1,1,1,1,1
uconn,UConn,,,8,1,BE,1,1,1,1,1,1,1,1
iowa,Iowa,,,8,2,B10,2,2,2,2,2,2,2,2
lsu,LSU,,,8,2,SEC,2,2,2,2,2,2,2,2
vanderbilt,Vanderbilt,,,8,2,SEC,2,2,2,2,2,2,2,2
duke,Duke,,,8,2.125,ACC,2,2,2,2,3,2,2,2
michigan,Michigan,,,8,2.875,B10,3,3,3,3,2,3,3,3
louisville,Louisville,,,8,3,ACC,3,3,3,3,3,3,3,3
ohio-state,Ohio St.,,,8,3,B10,3,3,3,3,3,3,3,3
tcu,TCU,,,8,3,B12,3,3,3,3,3,3,3,3
oklahoma,Oklahoma,,,8,4,SEC,4,4,4,4,4,4,4,4
west-virginia,West Virginia,,,8,4,B12,4,4,4,4,4,4,4,4
minnesota,Minnesota,,,8,4.25,B10,4,4,4,4,5,4,5,4
maryland,Maryland,,,8,4.375,B10,5,5,4,5,4,4,4,4
north-carolina,North Carolina,,,8,4.375,ACC,4,4,5,4,4,5,4,5
michigan-state,Michigan St,,,8,5,B10,5,5,5,5,5,5,5,5
kentucky,Kentucky,,,8,5.125,SEC,5,5,5,6,5,5,5,5
ole-miss,Ole Miss,,,8,5.25,SEC,5,5,5,5,6,6,5,5
notre-dame,Notre Dame,,,8,5.625,ACC,6,6,6,5,5,5,6,6
alabama,Alabama,,,8,6.125,SEC,6,6,6,7,6,6,6,6
baylor,Baylor,,,8,6.25,B12,6,6,6,6,6,6,7,7
washington,Washington,,,8,6.5,B10,7,7,7,7,6,6,6,6
north-carolina-state,NC State,,,8,6.75,ACC,6,8,6,6,7,7,7,7
texas-tech,Texas Tech,,,8,6.75,B12,7,6,7,6,7,7,7,7
georgia,Georgia,,,8,7,SEC,7,7,7,7,7,7,8,6
oregon,Oregon,,,8,7.5,B10,8,7,8,10,7,7,6,7
illinois,Illinois,,,8,7.75,B10,7,7,7,10,8,8,7,8
tennessee,Tennessee,,,8,8.125,SEC,8,8,8,8,8,8,8,9
usc,USC,,,8,8.125,B10,9,9,8,7,8,8,8,8
oklahoma-state,Oklahoma St,,,8,8.375,B12,9,8,8,8,9,9,8,8
villanova,Villanova,,,8,8.75,BE,9,8,9,8,10,9,9,8
virginia-tech,Virginia Tech,,,8,8.875,ACC,8,9,9,8,8,9,9,11
syracuse,Syracuse,,,8,9,ACC,10,9,9,9,9,8,9,9
iowa-state,Iowa St.,,,7,9.286,B12,8,9,9,,10,10,9,10
clemson,Clemson,,,8,9.75,ACC,10,10,10,9,9,10,10,10
princeton,Princeton,,,8,9.75,Ivy,9,10,11,10,10,9,10,9
colorado,Colorado,,,8,9.875,B12,10,10,10,9,9,11,11,9
