canonical_slug,team_display,conference,ncaa_team,ncaa_conference,net_rank,wab_rank,wab,q1_w,q1_l,q2_w,q2_l,q3_w,q3_l,q4_w,q4_l,bart_team,bart_conference,bart_rank,barthag,present_in_ncaa,present_in_bart
furman,Furman,SoCon,Furman,SoCon,246,173,-9.72,0,2,0,3,0,0,14,8,Furman,SC,263,.2054,1,1
gardner-webb,Gardner Webb,Big South,Gardner Webb,Big South,328,298,-17.73,0,1,0,0,0,1,12,17,Gardner Webb,BSth,332,.0490,1,1
george-mason,George Mason,Atlantic 10,George Mason,Atlantic 10,60,61,-2.12,1,3,3,3,2,1,17,2,George Mason,A10,63,.8833,1,1
george-washington,George Washington,Atlantic 10,George Washington,Atlantic 10,173,225,-12.98,0,0,1,5,0,3,13,9,George Washington,A10,176,.4644,1,1
georgetown,Georgetown,Big East,Georgetown,Big East,95,160,-8.87,0,5,1,3,3,3,10,6,Georgetown,BE,75,.8345,1,1
georgia,Georgia,SEC,Georgia,SEC,34,25,3.15,3,8,2,1,6,0,11,0,Georgia,SEC,31,.9714,1,1
georgia-southern,Georgia Southern,Sun Belt,Georgia Southern,Sun Belt,75,66,-2.56,0,2,2,2,1,2,19,1,Georgia Southern,SB,78,.8270,1,1
georgia-state,Georgia St.,Sun Belt,Georgia St.,Sun Belt,232,281,-16.74,0,2,1,3,0,3,7,13,Georgia St.,SB,249,.2392,1,1
georgia-tech,Georgia Tech,ACC,Georgia Tech,ACC,74,109,-5.97,1,9,2,6,2,2,9,1,Georgia Tech,ACC,61,.8883,1,1
gonzaga,Gonzaga,WCC,Gonzaga,WCC,63,87,-4.15,0,0,1,5,5,4,18,0,Gonzaga,WCC,62,.8836,1,1
grambling-state,Grambling St.,SWAC,Grambling St.,SWAC,301,271,-15.95,0,1,0,1,0,3,10,13,Grambling St.,SWAC,308,.0903,1,1
grand-canyon,Grand Canyon,Mountain West,Grand Canyon,Mountain West,135,234,-13.75,0,2,0,4,3,4,10,9,Grand Canyon,MWC,134,.6073,1,1
green-bay,Green Bay,Horizon,Green Bay,Horizon,97,88,-4.15,0,2,1,2,0,1,23,3,Green Bay,Horz,89,.7872,1,1
hampton,Hampton,CAA,Hampton,CAA,312,315,-19.05,0,0,0,0,0,2,7,18,Hampton,CAA,330,.0525,1,1
harvard,Harvard,Ivy League,Harvard,Ivy League,65,97,-4.70,0,3,1,2,2,3,14,2,Harvard,Ivy,66,.8652,1,1
hawaii,Hawaii,Big West,Hawaii,Big West,117,140,-8.06,0,0,0,1,1,4,17,5,Hawaii,BW,112,.6920,1,1
high-point,High Point,Big South,High Point,Big South,143,86,-4.04,0,0,0,1,2,0,23,4,High Point,BSth,164,.5111,1,1
hofstra,Hofstra,CAA,Hofstra,CAA,282,299,-17.75,0,2,0,1,0,2,7,16,Hofstra,CAA,287,.1388,1,1
holy-cross,Holy Cross,Patriot,Holy Cross,Patriot,154,112,-6.18,0,1,0,2,2,1,19,5,Holy Cross,Pat,167,.4949,1,1
houston,Houston,Big 12,Houston,Big 12,177,217,-12.58,0,6,0,8,0,6,7,3,Houston,B12,165,.5032,1,1
houston-christian,Houston Christian,Southland,Houston Christian,Southland,311,309,-18.33,0,1,0,2,0,2,6,16,Houston Christian,Slnd,313,.0768,1,1
howard,Howard,MEAC,Howard,MEAC,155,90,-4.28,0,2,1,1,1,1,22,3,Howard,MEAC,184,.4336,1,1
idaho,Idaho,Big Sky,Idaho,Big Sky,99,73,-2.96,0,0,0,2,3,0,24,3,Idaho,BSky,90,.7843,1,1
idaho-state,Idaho St.,Big Sky,Idaho St.,Big Sky,130,151,-8.67,0,0,0,2,2,1,16,8,Idaho St.,BSky,144,.5791,1,1
illinois,Illinois,Big Ten,Illinois,Big Ten,30,30,2.47,3,10,2,0,5,1,11,0,Illinois,B10,32,.9711,1,1
illinois-chicago,Illinois Chicago,MVC,Illinois Chicago,MVC,200,246,-14.53,0,0,1,1,0,4,13,12,Illinois Chicago,MVC,186,.4242,1,1
illinois-state,Illinois St.,MVC,Illinois St.,MVC,151,150,-8.66,0,2,0,1,0,3,19,6,Illinois St.,MVC,158,.5296,1,1
incarnate-word,Incarnate Word,Southland,Incarnate Word,Southland,273,232,-13.66,0,2,0,1,0,3,11,11,Incarnate Word,Slnd,279,.1647,1,1
indiana,Indiana,Big Ten,Indiana,Big Ten,55,47,0.01,2,12,1,2,3,0,12,0,Indiana,B10,46,.9307,1,1
indiana-state,Indiana St.,MVC,Indiana St.,MVC,304,312,-18.53,0,1,0,0,0,3,8,17,Indiana St.,MVC,285,.1485,1,1
iona,Iona,MAAC,Iona,MAAC,270,184,-10.26,0,0,0,2,1,3,18,7,Iona,MAAC,281,.1575,1,1
iowa,Iowa,Big Ten,Iowa,Big Ten,10,5,11.01,9,6,7,0,3,0,7,0,Iowa,B10,10,.9907,1,1
iowa-state,Iowa St.,Big 12,Iowa St.,Big 12,33,40,0.89,2,3,6,5,1,1,13,0,Iowa St.,B12,34,.9664,1,1
iu-indy,IU Indy,Horizon,IU Indy,Horizon,255,257,-15.05,0,0,0,0,0,4,12,13,IU Indy,Horz,250,.2368,1,1
jackson-state,Jackson St.,SWAC,Jackson St.,SWAC,315,249,-14.72,0,3,0,1,0,2,11,12,Jackson St.,SWAC,337,.0439,1,1
jacksonville,Jacksonville,ASUN,Jacksonville,ASUN,136,93,-4.46,0,2,1,1,0,1,21,4,Jacksonville,ASun,146,.5711,1,1
jacksonville-state,Jacksonville St.,CUSA,Jacksonville St.,CUSA,219,238,-13.99,0,1,0,1,0,2,13,12,Jacksonville St.,CUSA,219,.3306,1,1
james-madison,James Madison,Sun Belt,James Madison,Sun Belt,45,64,-2.31,0,2,1,2,6,3,19,1,James Madison,SB,43,.9371,1,1
kansas,Kansas,Big 12,Kansas,Big 12,50,58,-1.79,1,7,3,4,4,1,10,1,Kansas,B12,48,.9259,1,1
kansas-state,Kansas State,Big 12,Kansas State,Big 12,54,74,-2.98,4,6,3,5,3,5,8,1,Kansas St.,B12,52,.9121,1,1
kennesaw-state,Kennesaw St.,CUSA,Kennesaw St.,CUSA,249,245,-14.53,0,1,0,2,0,2,10,12,Kennesaw St.,CUSA,261,.2201,1,1
kent-state,Kent St.,MAC,Kent St.,MAC,164,201,-11.31,0,3,0,1,0,7,13,5,Kent St.,MAC,179,.4541,1,1
kentucky,Kentucky,SEC,Kentucky,SEC,16,19,4.97,5,9,2,1,8,0,8,0,Kentucky,SEC,17,.9881,1,1
la-salle,La Salle,Atlantic 10,La Salle,Atlantic 10,163,156,-8.78,0,1,1,4,0,3,16,5,La Salle,A10,151,.5640,1,1
la-tech,La. Tech,CUSA,La. Tech,CUSA,76,60,-2.12,0,2,0,0,1,1,22,2,Louisiana Tech,CUSA,85,.8073,1,1
lafayette,Lafayette,Patriot,Lafayette,Patriot,283,288,-17.18,0,1,0,0,0,3,11,15,Lafayette,Pat,291,.1289,1,1
lamar,Lamar,Southland,Lamar,Southland,180,139,-8.01,0,0,0,2,0,2,19,6,Lamar,Slnd,206,.3671,1,1
le-moyne,Le Moyne,NEC,Le Moyne,NEC,352,289,-17.34,0,2,0,1,0,2,11,15,Le Moyne,NEC,351,.0250,1,1
lehigh,Lehigh,Patriot,Lehigh,Patriot,195,195,-10.87,0,1,0,1,2,1,14,10,Lehigh,Pat,197,.3790,1,1
liberty,Liberty,CUSA,Liberty,CUSA,153,146,-8.50,0,2,1,1,1,2,13,7,Liberty,CUSA,136,.5942,1,1
lindenwood,Lindenwood,OVC,Lindenwood,OVC,94,95,-4.57,0,2,0,0,4,3,19,3,Lindenwood,OVC,103,.7295,1,1
lipscomb,Lipscomb,ASUN,Lipscomb,ASUN,261,304,-17.89,0,0,0,2,0,3,8,15,Lipscomb,ASun,264,.2053,1,1
little-rock,Little Rock,OVC,Little Rock,OVC,237,222,-12.82,0,1,0,1,0,6,13,8,Little Rock,OVC,242,.2619,1,1
liu,LIU,NEC,LIU,NEC,274,164,-9.29,0,0,0,1,0,0,18,9,LIU,NEC,277,.1690,1,1
long-beach-state,Long Beach St.,Big West,Long Beach St.,Big West,327,346,-21.91,0,1,0,2,0,4,4,18,Long Beach St.,BW,318,.0714,1,1
longwood,Longwood,Big South,Longwood,Big South,224,135,-7.80,0,2,0,0,0,2,18,6,Longwood,BSth,257,.2273,1,1
louisiana,Louisiana,Sun Belt,Louisiana,Sun Belt,318,342,-21.58,0,2,0,1,0,3,4,19,Louisiana,SB,314,.0757,1,1
louisiana-monroe,Louisiana Monroe,Sun Belt,Louisiana Monroe,Sun Belt,150,206,-11.53,0,2,0,4,1,3,15,7,Louisiana Monroe,SB,162,.5180,1,1
louisville,Louisville,ACC,Louisville,ACC,11,11,7.84,8,6,6,1,1,0,12,0,Louisville,ACC,11,.9905,1,1
loyola-chicago,Loyola Chicago,Atlantic 10,Loyola Chicago,Atlantic 10,198,219,-12.63,0,2,0,3,0,3,14,9,Loyola Chicago,A10,212,.3427,1,1
loyola-marymount,Loyola Marymount,WCC,Loyola Marymount,WCC,111,116,-6.66,0,0,0,1,5,2,15,6,Loyola Marymount,WCC,96,.7600,1,1
loyola-md,Loyola MD,Patriot,Loyola MD,Patriot,272,265,-15.48,0,2,0,0,0,2,12,14,Loyola MD,Pat,289,.1312,1,1
lsu,LSU,SEC,LSU,SEC,5,9,8.83,8,5,4,0,3,0,12,0,LSU,SEC,5,.9977,1,1
maine,Maine,America East,Maine,America East,142,143,-8.34,0,1,1,2,2,3,16,6,Maine,AE,172,.4767,1,1
manhattan,Manhattan,MAAC,Manhattan,MAAC,290,280,-16.58,0,1,0,3,0,5,11,11,Manhattan,MAAC,290,.1301,1,1
marist,Marist,MAAC,Marist,MAAC,302,287,-17.17,0,1,0,2,0,3,11,14,Marist,MAAC,309,.0890,1,1
marquette,Marquette,Big East,Marquette,Big East,68,92,-4.38,0,5,1,2,4,3,12,2,Marquette,BE,57,.8932,1,1
marshall,Marshall,Sun Belt,Marshall,Sun Belt,103,99,-4.87,0,2,1,2,2,2,18,3,Marshall,SB,124,.6436,1,1
maryland,Maryland,Big Ten,Maryland,Big Ten,14,17,5.41,6,7,2,1,3,0,12,0,Maryland,B10,12,.9893,1,1
maryland-eastern-shore,Maryland Eastern Shore,MEAC,Maryland Eastern Shore,MEAC,252,178,-9.92,0,2,0,1,0,1,17,9,Maryland Eastern Shore,MEAC,254,.2290,1,1
massachusetts,Massachusetts,MAC,Massachusetts,MAC,98,94,-4.52,0,0,0,3,3,1,20,3,Massachusetts,MAC,100,.7453,1,1
mcneese-state,McNeese St,Southland,McNeese St,Southland,81,55,-1.20,0,2,0,1,1,0,25,1,McNeese St.,Slnd,88,.7930,1,1
memphis,Memphis,American,Memphis,American,217,297,-17.53,0,1,0,1,0,7,9,12,Memphis,Amer,221,.3283,1,1
mercer,Mercer,SoCon,Mercer,SoCon,265,209,-11.75,0,0,0,2,0,1,15,10,Mercer,SC,274,.1731,1,1
mercyhurst,Mercyhurst,NEC,Mercyhurst,NEC,329,204,-11.44,0,4,0,0,0,0,15,11,Mercyhurst,NEC,319,.0707,1,1
merrimack,Merrimack,MAAC,Merrimack,MAAC,230,175,-9.82,0,0,0,3,0,2,18,7,Merrimack,MAAC,239,.2746,1,1
miami-fl,Miami (FL),ACC,Miami (FL),ACC,57,63,-2.25,1,10,3,3,2,1,11,0,Miami FL,ACC,65,.8780,1,1
miami-oh,Miami (OH),MAC,Miami (OH),MAC,78,77,-3.07,0,0,1,2,3,1,20,3,Miami OH,MAC,80,.8154,1,1
michigan,Michigan,Big Ten,Michigan,Big Ten,6,6,10.13,9,6,4,0,4,0,8,0,Michigan,B10,6,.9952,1,1
michigan-state,Michigan St.,Big Ten,Michigan St.,Big Ten,17,16,5.52,5,7,5,0,1,1,11,0,Michigan St.,B10,22,.9819,1,1
middle-tennessee,Middle Tennessee,CUSA,Middle Tennessee,CUSA,161,196,-10.91,0,1,0,3,0,3,16,7,Middle Tennessee,CUSA,159,.5264,1,1
milwaukee,Milwaukee,Horizon,Milwaukee,Horizon,309,349,-22.28,0,0,0,0,0,3,6,21,Milwaukee,Horz,303,.0971,1,1
minnesota,Minnesota,Big Ten,Minnesota,Big Ten,9,18,5.13,5,7,2,1,6,0,9,0,Minnesota,B10,8,.9915,1,1
mississippi-state,Mississippi St.,SEC,Mississippi St.,SEC,43,53,-0.85,2,9,1,3,3,1,12,0,Mississippi St.,SEC,41,.9417,1,1
mississippi-valley-state,Mississippi Valley St.,SWAC,Mississippi Valley St.,SWAC,353,320,-19.87,0,3,0,1,0,1,8,18,Mississippi Valley St.,SWAC,356,.0155,1,1
missouri,Missouri,SEC,Missouri,SEC,84,76,-3.05,1,9,1,5,2,2,12,0,Missouri,SEC,74,.8351,1,1
missouri-state,Missouri St.,CUSA,Missouri St.,CUSA,121,171,-9.67,0,0,0,2,1,2,18,8,Missouri St.,CUSA,137,.5927,1,1
monmouth,Monmouth,CAA,Monmouth,CAA,199,145,-8.41,0,1,0,0,0,0,16,9,Monmouth,CAA,222,.3260,1,1
montana,Montana,Big Sky,Montana,Big Sky,269,293,-17.43,0,2,0,2,1,6,7,12,Montana,BSky,266,.2031,1,1
montana-state,Montana St.,Big Sky,Montana St.,Big Sky,69,78,-3.18,0,1,1,2,1,4,21,0,Montana St.,BSky,67,.8649,1,1
morehead-state,Morehead St.,OVC,Morehead St.,OVC,194,174,-9.77,0,3,0,0,2,2,15,9,Morehead St.,OVC,189,.4127,1,1
morgan-state,Morgan St.,MEAC,Morgan St.,MEAC,350,323,-20.16,0,3,0,2,0,0,4,19,Morgan St.,MEAC,345,.0347,1,1
mount-state-mary-s,Mount St. Mary's,MAAC,Mount St. Mary's,MAAC,281,215,-12.52,0,2,0,1,0,2,15,10,Mount St. Mary's,MAAC,299,.1092,1,1
murray-state,Murray St.,MVC,Murray St.,MVC,91,48,-0.01,0,2,1,0,2,1,24,0,Murray St.,MVC,105,.7245,1,1
n-dakota-state,N Dakota St,Summit League,N Dakota St,Summit League,47,49,-0.48,1,1,0,2,4,1,21,0,North Dakota St.,Sum,64,.8811,1,1
